epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1414.12,0.87167,1.42563,0.99459,0.89313,0.7439,0.7473,0.61329,0.94914,1.37764,1.07839,9.3021e-05,9.3021e-05,9.3021e-05
72,1434.09,0.87036,1.36253,0.9837,0.89421,0.74334,0.74845,0.61744,0.93243,1.33744,1.07353,9.00213e-05,9.00213e-05,9.00213e-05
73,1453.3,0.85524,1.33058,1.09725,0.89421,0.74334,0.74845,0.61744,0.93243,1.33744,1.07353,8.70216e-05,8.70216e-05,8.70216e-05
74,1472.9,0.91626,1.45542,1.10819,0.89868,0.74057,0.74934,0.61873,0.91619,1.28679,1.07207,8.40219e-05,8.40219e-05,8.40219e-05
75,1492.5,0.86981,1.40612,1.05919,0.89868,0.74057,0.74934,0.61873,0.91619,1.28679,1.07207,8.10222e-05,8.10222e-05,8.10222e-05
76,1512.97,0.84623,1.34955,1.03751,0.91008,0.74482,0.74927,0.61946,0.90925,1.2351,1.07047,7.80225e-05,7.80225e-05,7.80225e-05
77,1532.42,0.90073,1.48073,0.96959,0.91008,0.74482,0.74927,0.61946,0.90925,1.2351,1.07047,7.50228e-05,7.50228e-05,7.50228e-05
78,1553.13,0.94153,1.48124,1.0428,0.91288,0.74482,0.75053,0.62112,0.90826,1.21646,1.06837,7.20231e-05,7.20231e-05,7.20231e-05
79,1572.33,0.82327,1.28902,1.00478,0.91288,0.74482,0.75053,0.62112,0.90826,1.21646,1.06837,6.90234e-05,6.90234e-05,6.90234e-05
80,1592.36,0.92468,1.43475,1.00925,0.91594,0.74709,0.75203,0.62185,0.90351,1.20908,1.06579,6.60237e-05,6.60237e-05,6.60237e-05
81,1612.2,0.8353,1.32458,0.98961,0.91594,0.74709,0.75203,0.62185,0.90351,1.20908,1.06579,6.3024e-05,6.3024e-05,6.3024e-05
